current_dir=/home/ssenthilbabu/miniconda3/envs/rbe577_a3c/lib/python3.8/site-packages/pybullet_envs/bullet
Logging to logs/A3C_20260329-162852
current_dir=/home/ssenthilbabu/miniconda3/envs/rbe577_a3c/lib/python3.8/site-packages/pybullet_envs/bullet
Worker 3 | Episode 10 | Reward: 0.00 | Avg: 0.10 | Actor Loss: -0.0025 | Critic Loss: 0.0000 | Sigma: 0.3130
current_dir=/home/ssenthilbabu/miniconda3/envs/rbe577_a3c/lib/python3.8/site-packages/pybullet_envs/bullet
Worker 5 | Episode 20 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.0684 | Critic Loss: 0.0112 | Sigma: 0.3126
current_dir=/home/ssenthilbabu/miniconda3/envs/rbe577_a3c/lib/python3.8/site-packages/pybullet_envs/bullet
Worker 1 | Episode 30 | Reward: 1.00 | Avg: 0.10 | Actor Loss: 0.1417 | Critic Loss: 0.5143 | Sigma: 0.3125
current_dir=/home/ssenthilbabu/miniconda3/envs/rbe577_a3c/lib/python3.8/site-packages/pybullet_envs/bullet
Worker 4 | Episode 40 | Reward: 1.00 | Avg: 0.40 | Actor Loss: 0.1791 | Critic Loss: 0.5387 | Sigma: 0.3125
current_dir=/home/ssenthilbabu/miniconda3/envs/rbe577_a3c/lib/python3.8/site-packages/pybullet_envs/bullet
Worker 0 | Episode 50 | Reward: 0.00 | Avg: 0.00 | Actor Loss: -0.2921 | Critic Loss: 0.0528 | Sigma: 0.3123
Worker 5 | Episode 60 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.0593 | Critic Loss: 0.0270 | Sigma: 0.3124
Worker 0 | Episode 70 | Reward: 1.00 | Avg: 0.20 | Actor Loss: 0.4243 | Critic Loss: 0.5601 | Sigma: 0.3125
Worker 1 | Episode 80 | Reward: 0.00 | Avg: 0.40 | Actor Loss: -0.0467 | Critic Loss: 0.0192 | Sigma: 0.3124
current_dir=/home/ssenthilbabu/miniconda3/envs/rbe577_a3c/lib/python3.8/site-packages/pybullet_envs/bullet
Worker 2 | Episode 90 | Reward: 0.00 | Avg: 0.30 | Actor Loss: -0.0175 | Critic Loss: 0.0554 | Sigma: 0.3122
